notifier_id,notifier_name
1,อบต.เขาตูม
2,ญาติ
3,อบต.ตลองมานิง
4,อบต.กะมิยอ
5,อบต.สะดาวา
6,รพ.กะพ้อ
7,ตะลุโบะ
8,รพ.สต.ควน
9,รพ.สิโรรส ปน
10,โพธิ์เงิน
11,พลเมืองดี
12,กู้ชีพพญาบูโด
13,พิกุลทอง
14,เพื่อน
15,จนท.
16,อบต.ท่าน้ำ
17,รพ.มายอ
18,ประจัน
19,อบต.ทรายขาว
20,อบต.คลองใหม่
21,เทศบาลนาประดู่
22,อบต ปูยุด
23,พญาบูโด
24,อบต.สะนอ
25,ตำรวจ
26,กู้ชีพเต็กก่า
27,อบต.ปะกาฮารัง
28,อบต.ปูยุด
29,กู้ชีพพิทักษ์ภัย
30,สว่างสายบุรี
31,อบต.ป่าไร่
32,กู้ชีพอัตตะอาวุน
33,อบต .ช้างให้ตก
34,อบต.ตะลุโบะ
35,ิอบต.บ้านกลาง
36,ข่าย ตร.
37,สภ.ยะหริ่ง
38,สภ.เมือง
39,ฮิลาลอะห์มัร
40,ครู
41,อบต.คลองมานิง
42,รพสต.ปุโละปุโย
43,อบต.ป่าบอน
44,รพ.แม่ลาน
45,อบต.ประจัน
46,นเรนทรสงขลา
47,กู้ชีพ.สันติ
48,ศอชต.
49,อบต.ม่วงเตี้ย
50,อบต.กอลำ
51,อบต.ปูยุุด
52,จนท.รพ
53,จนท.รพ.สต.
54,อบต.พิเทน
55,อบต.ราตาปันยัง
56,อบต.ทุ่งพลา
57,จนท
58,กะพ้อร่วมใจ
59,รพ.สต.ปูโละปูโย
60,อบต.ระแว้ง
61,ผุ้ป่วยโทรแจ้ง
62,รพ.สต เขาตูม
63,อบต.ปากล่อ
64,เทศบาลบ่อทอง
65,กู้ชีพตะลุโบะ
66,ผู้ป่วยแจ้งเอง
67,รพ.สายบุรี
68,อบต.ยะรัง
69,รพ.สต.ตอหลัง
70,รัศมีสถาปนา
71,รพ.สต.ตาแกะ
72,อบต.ช้างให้ตก
73,รพ.สต.จะรัง
74,อบต.ควนโนรี
75,รพ.ยะรัง
76,อบต.ตะโละไกรทอง
77,จนท.เรือนจำ
78,รพ.ไม้แก่น
79,อบต.ดอนทราย
80,อบต.ลางา
81,รพ.สต ลิปะสะโง
82,รพ.สต.ปล่องหอย
83,เทศบาลปะนาเระ
84,เทศบาลตันหยง
85,อบจ.ปัตตานี
86,จนท.คลินิก
87,รพ.ยุพราชสายบุรี
88,กู้ชึพสะกำ
89,รพ.สต.เขาตูม
90,อบต.เกาะจัน
91,รพ.สต กะมิยอ
92,รพ.ปะนาเระ
93,รพ.สต.ตันหยงเปาว์
94,รพ.สต.ปาตาบูดี
95,จนทcmu2
96,อบต.ละหาร
97,รพ.สต จะรัง
98,เจ้าของร้าน
99,นายจ้าง
100,เทศบาลเตราะบอน
101,อบต.ไทรทอง
102,ทต.เตราะบอน
103,ลุโบะยีไร
104,รพ.โคกโพธิ์
105,รพ.ยะหริ่ง
106,ทต.ยะหริ่ง
107,รพ.ปัตตานี
108,รพ.ทุ่งยางแดง
109,อบต.นาเกตุ
110,อบต.กระโด
111,อบต.ปุยุด
112,รพ.หนองจิก
113,ทต.ตันหยง
114,อบต.เมาะมาวี
115,ศูนย์เอราวัณ
116,สภ.โคกโพธิ์
117,แม่กอเหนี่ยวป่าไร่
118,จนท.ตำรวจ
119,รพ.สต.คลองใหม่
120,รพ.ค่ายอิงคยุทธ
121,ฮิลาลอะห์มัรยะหริ่ง
122,รพ.สต.นาประดู่
123,สภ.ตุยง
124,สภ.หนองจิก
125,พ่อมิ่ง
126,รพ.สต.บ้านปล่องหอย ม.5
127,จนท.ทหาร
