ddpm_id,ddpm_name
1,ประสานหน่วยทหาร ร 153 พัน 3
2,ประสานกู้ชีพ นำส่ง
3,ประสาน กอ.ร่วม
4,กอ.ร่วมนำส่ง-ประสานกู้ชีพเต็กก่า
5,ประสานงานทีมปภ.อำเภอทุ่งยางแดง
6,ประสานงานทีมปภ.อำเภอโคกโพธิ์
7,รับแจ้งจากทีมกู้ชีพในพื้นที่
8,ประสานงานทีมปภ.อำเภอยะหริ่ง
9,ประสานงานทีมปภ.อำเภอมายอ
10,ประสานงานทีมปภ.อำเภอหนองจิก
11,ประสานงานทีมปภ.อำเภอทุ่งยางแดง
12,ประสานงานทีมปภ.อำเภอแม่ลาน
13,ประสานงานทีมปภ.อำเภอยะรัง
14,ประสานงานทีมปภ.อำเภอปะนาเระ
15,ประสานงานทีมปภ.อำเภอเมือง
16,ประสานงานทีมปภ.อำเภอสายบุรี
17,ประสานกู้ชีพเต็กก่า
18,กอ.ร่วมนำส่งประสาน ปภ.อ.เมือง
19,ประสานฉลามภัย จว.
20,กอ ร่วม ปตทประสานงานทีมปภ.อำเภอยะหริ่ง
