crew_id,crew_name
1,กู้ชีพเต็กก่า
2,รพ.ปัตตานี
3,รพ.ยะหริ่ง
4,รพ.ยะรัง
5,รพ.หนองจิก
6,รพ.โคกโพธิ์
7,รพ.สมเด็จพระยุพราชสายบุรี
8,รพ.มายอ
9,รพ.ปะนาเระ
10,รพ.ทุ่งยางแดง
11,รพ.แม่ลาน
12,รพ.กะพ้อ
13,รพ.ไม้แก่น
14,รพ.สิโรรส ปัตตานี
15,รพ.ศูนย์ยะลา
16,รพ.ค่ายอิงคยุทธบริหาร
17,ศูนย์อนามัยแม่และเด็กเขต9
18,ไม่ประสงค์ไป รพ.
19,ไม่พบเหตุ
20,รพ.สิโรรสยะลา
21,พลเมืองดีนำส่ง
22,อบต.เกาะจัน
23,อบต.ไทรทอง
24,สว่างสายบุรี
25,พิทักษ์ภัย
26,ทต.บ่อทอง
27,อบต.ป่าไร่
28,อบต.กอลำ
29,ศอชต.
30,อบต.เขาตูม
31,อบต.ปิตุมุดี
32,รร.รัศมีสถาปนา
33,กะพ้อร่วมใจ
34,ทต.ตันหยง
35,รพ.สต.จะรัง
36,อบต.ปูยุด
37,อบต.ท่านํ้า
38,รพ.สต.ตอหลัง
39,อบจ.ปัตตานี
40,รพ.สต.ปล่องหอย ม.5
41,รพ.สต.ปล่องหอย
42,โพธิ์เงิน
43,อบต.กะมิยอ
44,อบต.ปากล่อ
45,อบต.คลองใหม่
46,กู้ชีพตะลุโบะ
47,อบต.สะดาวา
48,อบต.ทุ่งพลา
49,อบต.ตะลุโบะ
50,อบต.ปะกาฮารัง
51,อบต.ทรายขาว
52,ทต.เตราะบอน
53,อบต.ยะรัง
54,อิลลาลอะหมัดยะหริ่ง
55,อบต.พิเทน
56,กู้ชีพ.สันติ
57,กู้ชีพ.ตะอาวุน
58,อบต.สะนอ
59,อบต.ประจัน
60,อบต.กะโด
61,อบต.คลองมานิง
62,รพสต.ลิปะสะโง
63,อบต.น้ำดำ
64,กู้ชีพพญาบูโด
65,เทศบาลนาประดู่
66,อบต.ม่วงเตี้ย
67,แม่กอเหนี่ยวป่าไร่
68,พิกุลทอง
69,รพ.สต.ป่าบอน
70,อบต.ตะโละไกรทอง
71,รพ.สต.ปุโละปูโย
72,อบต.ป่าบอน
73,อบต.เมาะมาวี
74,อบต.ระแว้ง
75,รพ.สต.ตาแกะ
76,อบต.บ้านกลาง
77,อบต.นาเกตุ
78,รพ.สต.ปาตาบูดี
79,ฮิลาลอะมัร
80,อบต.ลางา
81,อบต.ราตาปันยัง
82,เทศบาลตันหยง
83,อบต.ละหาร
84,รพ.สต.กะมิยอ
85,รพ.สต.เขาตูม
86,รพ.สต.คลองใหม่
87,อบต.ตาลีอายร์
88,รพ.สต.ควน
89,อบต.ควนโนรี
90,รพ.สต.นาประดู่
91,จิดอาสาสะกำ
92,รพ.สต ตรัง
93,ทต.ปะนาเระ
94,อบต.กระเสาะ
95,พ่อมิ่ง
96,กู้ชีพ.มังกร
97,อบต.ปากู
98,ทต.มายอ
99,อบต.ปะโด
100,รพ.สต.ทุ่งนเรนทร์
101,อบต.มะนังดาลำ
102,อบต.ลุโบ๊ะยิไร
103,ทหาร ร.153 พัน.3
104,กอ.ร่วม
