subdistrict_id,district_id,subdistrict_code,subdistrict_name
1,1,940107,กะมิยอ
2,1,940106,คลองมานิง
3,1,940103,จะบังติกอ
4,1,940111,ตะลุโบะ
5,1,940105,ตันหยงลุโละ
6,1,940104,บานา
7,1,940108,บาราโหม
8,1,940112,บาราเฮาะ
9,1,940109,ปะกาฮะรัง
10,1,940113,ปุยุด
11,1,940110,รูสะมิแล
12,1,940101,สะบารัง
13,1,940102,อาเนาะรู
14,2,940214,ควนโนรี
15,2,940201,โคกโพธิ์
16,2,940215,ช้างให้ตก
17,2,940205,ทรายขาว
18,2,940211,ท่าเรือ
19,2,940208,ทุ่งพลา
20,2,940213,นาเกตุ
21,2,940206,นาประดู่
22,2,940203,บางโกระ
23,2,940207,ปากล่อ
24,2,940204,ป่าบอน
25,2,940202,มะกรูด
26,3,940301,เกาะเปาะ
27,3,940302,คอลอตันหยง
28,3,940303,ดอนรัก
29,3,940304,ดาโต๊ะ
30,3,940305,ตุยง
31,3,940306,ท่ากำชำ
32,3,940307,บ่อทอง
33,3,940308,บางเขา
34,3,940309,บางตาวา
35,3,940310,ปุโละปุโย
36,3,940311,ยาบี
37,3,940312,ลิปะสะโง
38,4,940405,ควน
39,4,940407,คอกกระบือ
40,4,940404,ดอน
41,4,940402,ท่าข้าม
42,4,940406,ท่าน้ำ
43,4,940409,บ้านกลาง
44,4,940403,บ้านนอก
45,4,940410,บ้านน้ำบ่อ
46,4,940401,ปะนาเระ
47,4,940408,พ่อมิ่ง
48,5,940507,กระเสาะ
49,5,940504,กระหวะ
50,5,940508,เกาะจัน
51,5,940503,ตรัง
52,5,940502,ถนน
53,5,940509,ปะโด
54,5,940513,ปานัน
55,5,940501,มายอ
56,5,940506,ลางา
57,5,940505,ลุโบะยิไร
58,5,940512,สะกำ
59,5,940511,สาคอใต้
60,5,940510,สาคอบน
61,6,940601,ตะโละแมะนา
62,6,940603,น้ำดำ
63,6,940604,ปากู
64,6,940602,พิเทน
65,7,940707,กะดุนง
66,7,940702,ตะบิ้ง
67,7,940701,ตะลุบัน
68,7,940706,เตราะบอน
69,7,940711,ทุ่งคล้า
70,7,940704,บางเก่า
71,7,940705,บือเระ
72,7,940703,ปะเสยะวอ
73,7,940710,แป้น
74,7,940709,มะนังดาลำ
75,7,940708,ละหาร
76,8,940804,ดอนทราย
77,8,940803,ตะโละไกรทอง
78,8,940801,ไทรทอง
79,8,940802,ไม้แก่น
80,9,940917,จะรัง
81,9,940905,ตอหลัง
82,9,940901,ตะโละ
83,9,940902,ตะโละกาโปร์
84,9,940904,ตันหยงจึงงา
85,9,940903,ตันหยงดาลอ
86,9,940906,ตาแกะ
87,9,940907,ตาลีอายร์
88,9,940909,บางปู
89,9,940913,บาโลย
90,9,940911,ปิยามุมัง
91,9,940912,ปุลากง
92,9,940915,มะนังยง
93,9,940908,ยามู
94,9,940916,ราตาปันยัง
95,9,940914,สาบัน
96,9,940910,หนองแรต
97,9,940918,แหลมโพธิ์
98,10,941008,กระโด
99,10,941011,กอลำ
100,10,941012,เขาตูม
101,10,941009,คลองใหม่
102,10,941003,ประจัน
103,10,941006,ปิตูมุดี
104,10,941010,เมาะมาวี
105,10,941001,ยะรัง
106,10,941005,ระแว้ง
107,10,941007,วัด
108,10,941002,สะดาวา
109,10,941004,สะนอ
110,11,941101,กะรุบี
111,11,941102,ตะโละดือรามัน
112,11,941103,ปล่องหอย
113,12,941203,ป่าไร่
114,12,941202,ม่วงเตี้ย
115,12,941201,แม่ลาน
